Variable,n,Mean,Std Dev,Median,Q1,Q3,Min,Max,Missing %
academic_performance,200000,71,5.649,70.981,67.175,74.796,44.583,97.246,0.0
academic_year,200000,3,1.12,3.0,2.0,4.0,1.0,4.0,0.0
age,200000,23,3.74,23.0,20.0,26.0,17.0,29.0,0.0
anxiety_score,200000,3,1.51,2.967,1.918,4.013,0.0,9.571,0.0
burnout_score,200000,2,1.664,1.496,0.127,2.888,0.0,10.0,0.0
depression_score,200000,1,1.221,1.04,0.0,2.081,0.0,7.698,0.0
dropout_risk,200000,1,1.345,1.007,0.0,2.177,0.0,9.212,0.0
exam_pressure,200000,6,1.55,5.998,4.939,7.049,1.0,10.0,0.0
family_expectation,200000,6,1.959,5.993,4.643,7.347,0.0,10.0,0.0
financial_stress,200000,5,1.98,5.004,3.657,6.364,0.0,10.0,0.0
internet_usage,200000,5,2.162,4.999,3.486,6.509,1.0,14.0,0.0
mental_health_index,200000,7,1.312,7.08,6.146,7.965,1.364,10.0,0.0
physical_activity,200000,3,1.466,3.001,1.989,4.015,0.0,7.0,0.0
screen_time,200000,5,1.966,5.003,3.646,6.357,1.0,12.0,0.0
sleep_hours,200000,6,1.473,6.498,5.488,7.508,3.0,10.0,0.0
social_support,200000,5,1.979,5.002,3.654,6.358,0.0,10.0,0.0
stress_level,200000,4,1.682,4.238,3.101,5.387,0.0,10.0,0.0
study_hours_per_day,200000,5,1.992,4.994,3.643,6.341,0.0,14.0,0.0
