Feature,Coefficient,Std Error,t-stat,p-value,CI Lower,CI Upper
age,-0.001,0.002,-0.273,0.785,-0.005,0.004
study_hours_per_day,0.007,0.004,1.586,0.113,-0.002,0.015
exam_pressure,0.231,0.004,53.295,0.0,0.222,0.239
academic_performance,0.001,0.003,0.258,0.796,-0.005,0.006
stress_level,0.583,0.005,108.043,0.0,0.572,0.593
anxiety_score,0.376,0.004,101.419,0.0,0.369,0.383
depression_score,0.31,0.003,89.277,0.0,0.303,0.317
sleep_hours,-0.338,0.003,-128.733,0.0,-0.343,-0.333
physical_activity,0.003,0.003,1.095,0.273,-0.002,0.008
social_support,-0.267,0.003,-98.207,0.0,-0.273,-0.262
screen_time,-0.017,0.005,-3.141,0.002,-0.027,-0.006
internet_usage,0.013,0.005,2.445,0.014,0.003,0.023
financial_stress,-0.003,0.003,-0.922,0.357,-0.009,0.003
family_expectation,-0.007,0.003,-2.371,0.018,-0.012,-0.001
gender_Male,-0.003,0.002,-1.405,0.16,-0.008,0.001
gender_Other,-0.001,0.002,-0.228,0.82,-0.005,0.004
academic_year_2,-0.0,0.003,-0.059,0.953,-0.006,0.006
academic_year_3,-0.001,0.003,-0.38,0.704,-0.007,0.005
academic_year_4,-0.001,0.003,-0.416,0.678,-0.007,0.005
