Step,Variable Added,Num Predictors,AIC,BIC,Mallows Cp
1,stress_level,1,422209.705,422229.404,66673.93
2,social_support,2,404092.758,404122.307,41586.775
3,sleep_hours,3,391570.277,391609.675,26049.704
4,anxiety_score,4,382475.815,382525.062,15606.085
5,depression_score,5,375107.78,375166.876,7628.788
6,exam_pressure,6,367693.773,367762.719,14.701
7,screen_time,7,367691.257,367770.052,12.185
8,internet_usage,8,367687.3,367775.944,8.228
9,family_expectation,9,367684.88,367783.374,5.809
10,study_hours_per_day,10,367683.212,367791.555,4.14
11,gender_Male,11,367683.293,367801.486,4.222
