Feature,VIF,Flag
academic_performance,73.848,HIGH (>10)
exam_pressure,45.134,HIGH (>10)
stress_level,37.095,HIGH (>10)
screen_time,36.545,HIGH (>10)
age,34.052,HIGH (>10)
internet_usage,31.369,HIGH (>10)
sleep_hours,23.093,HIGH (>10)
study_hours_per_day,18.739,HIGH (>10)
family_expectation,13.532,HIGH (>10)
financial_stress,11.852,HIGH (>10)
anxiety_score,11.663,HIGH (>10)
social_support,9.294,MODERATE (>5)
physical_activity,5.596,MODERATE (>5)
depression_score,4.348,
academic_year_4,1.997,
gender_Male,1.99,
academic_year_3,1.984,
academic_year_2,1.983,
gender_Other,1.084,
