Feature,RF Importance,Boosting Importance,Domain,RF Rank,Boosting Rank
age,0.011068701086047045,3.719207221972156e-05,Demographic,14,14
study_hours_per_day,0.021050718392808435,0.00031336023439390017,Academic,7,7
exam_pressure,0.04422530781697042,0.03188411803569433,Academic,6,6
academic_performance,0.01798899675486038,0.00010651165850627956,Academic,9,13
stress_level,0.4062664573647667,0.6646132587905904,Psychological,1,1
anxiety_score,0.16490187050747226,0.1178017673114824,Psychological,2,2
depression_score,0.11308846980626623,0.06924049970775878,Psychological,3,3
sleep_hours,0.06698550602389733,0.06140153467636091,Lifestyle,4,4
physical_activity,0.01782675296506768,0.00015340608721008087,Lifestyle,11,10
social_support,0.05834175829267149,0.05382523566583927,Lifestyle,5,5
screen_time,0.01606724980213643,0.00016424337555357002,Lifestyle,12,9
internet_usage,0.016014642939976606,0.00012235913199684412,Lifestyle,13,11
financial_stress,0.01884877354427141,0.00011138971668749167,External Stressor,8,12
family_expectation,0.017975994725325628,0.00019677629459873344,External Stressor,10,8
gender_Male,0.0023491756951557223,2.0780745168577143e-05,Demographic,15,15
gender_Other,0.0009197977510306901,0.0,Demographic,19,18
academic_year_2,0.002029846454566802,0.0,Academic,17,18
academic_year_3,0.0019975984101299137,1.8809861925750792e-06,Academic,18,17
academic_year_4,0.002052381666578851,5.685509746156836e-06,Academic,16,16
