Random Forest Regression Tuning
n_estimators,max_features,CV R-squared Mean,CV R-squared Std
200,0.5,0.733973763946103,0.003724702613380287
200,log2,0.7331994413659523,0.003804315506377883
200,sqrt,0.7331994413659523,0.003804315506377883
100,0.5,0.7325690708532964,0.0036632450351895235
100,sqrt,0.7315881625744833,0.003817684607172192
100,log2,0.7315881625744833,0.003817684607172192
50,0.5,0.7298227405313698,0.0035119812820019374
50,sqrt,0.7285341649031828,0.004050596931295489
50,log2,0.7285341649031827,0.004050596931295493

Random Forest Classification Tuning
n_estimators,max_features,CV AUC Mean,CV AUC Std
200,log2,0.9674137005586422,0.004306042585656147
200,sqrt,0.9674137005586422,0.004306042585656147
200,0.5,0.9653530377628459,0.0037121112863192298
100,sqrt,0.9601763455047989,0.0039775399248984
100,log2,0.9601763455047989,0.0039775399248984
100,0.5,0.9565067088754718,0.005190345609279964
50,sqrt,0.9466450917923135,0.003519286496523266
50,log2,0.9466450917923135,0.003519286496523266
50,0.5,0.9418787153287154,0.006137664930903348

Gradient Boosting Regression Tuning
learning_rate,max_depth,CV RMSE Mean,CV RMSE Std
0.1,3,0.8492269277972415,0.003577051476289071
0.05,4,0.8492471092773272,0.003458546480975447
0.05,5,0.8493113192445648,0.003679478525588873
0.1,4,0.8499237792998187,0.0034423653791304585
0.1,5,0.8507358764806247,0.0034913613124256796
0.05,3,0.8510809225161781,0.0035061690001044
0.01,5,0.9081692730583398,0.001725354889295969
0.01,4,0.9263052401964341,0.0012333050266493328
0.01,3,0.9568662076764823,0.0009035778117154535

Gradient Boosting Classification Tuning
learning_rate,max_depth,CV AUC Mean,CV AUC Std
0.1,3,0.9774044950895375,0.0010851580015809575
0.05,4,0.9767023106240791,0.0013951396373091513
0.05,3,0.9766187659432048,0.0011745495533058688
0.1,4,0.9763187392696635,0.0012246701698125086
0.05,5,0.9762707784868233,0.001218422841716934
0.1,5,0.9752900956992809,0.0006375148087869134
0.01,5,0.9741697320363059,0.0014209386529075308
0.01,4,0.9727698405537358,0.0013893718079184692
0.01,3,0.9698361881237065,0.0014072222950295371
