K,CV Accuracy,CV Std,Training Accuracy,Test Accuracy
1,0.9801,0.0007,1.0,0.981
3,0.9843,0.0007,0.9894,0.9852
5,0.9851,0.0005,0.987,0.9857
7,0.9853,0.0003,0.9865,0.9856
9,0.9857,0.0004,0.9861,0.9856
11,0.9855,0.0002,0.9861,0.9856
13,0.9855,0.0003,0.9858,0.9856
15,0.9856,0.0003,0.9859,0.9854
17,0.9856,0.0002,0.9858,0.9854
19,0.9855,0.0002,0.9856,0.9854
21,0.9855,0.0002,0.9855,0.9852
23,0.9854,0.0002,0.9855,0.9851
25,0.9854,0.0002,0.9855,0.9852
27,0.9853,0.0003,0.9855,0.9852
29,0.9853,0.0002,0.9855,0.9851
31,0.9853,0.0001,0.9855,0.985
33,0.9853,0.0002,0.9855,0.9851
35,0.9853,0.0002,0.9855,0.9851
37,0.9852,0.0001,0.9854,0.9851
39,0.9852,0.0001,0.9854,0.985
41,0.9852,0.0001,0.9854,0.985
43,0.9851,0.0002,0.9853,0.985
45,0.9851,0.0002,0.9853,0.985
47,0.9851,0.0002,0.9853,0.985
49,0.9852,0.0002,0.9852,0.985
