,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10,PC11,PC12,PC13,PC14,PC15,PC16
age,-0.0021922193389381094,0.0002007120829082406,-0.0010203527008588779,-0.01937460237532124,0.023210346501444015,0.017776243127220145,0.006117594972459927,-0.05308996236362563,0.7110093723037451,0.6907079751471383,0.10709331816661738,-0.04204658762396973,0.0008568443633901628,-0.004687509942209796,0.00537073540409818,0.0021365512993989934
study_hours_per_day,0.3280105741386812,0.002459365097712161,0.5707030272466799,0.003868113287190944,0.01069748859532893,-0.004297469484107419,-0.027054360300231034,-0.0026794626064914825,-0.0009261138874955832,-0.0017457649355800409,3.33429238877081e-05,-0.06866770126939792,-0.005558660645098756,-0.2526730144451801,-0.10926191343049582,-0.001415152789937854
exam_pressure,0.35911410773424396,0.002746120362709824,0.46306251658949715,-0.0002126291295164943,0.004873910643212724,0.005335979197221191,-0.0075493351611390916,0.01110297680337458,-0.008303481531914528,-0.013939736964601152,-0.006080594406547526,-0.41104739378847066,-0.013550915095400533,-0.1334493030428608,-0.053297385966101375,-0.0026704892453063966
academic_performance,0.10947354738973843,0.0016049485502294821,0.4020383670708669,0.0064614306665931485,0.016468598816052313,-0.02656949165098094,-0.047358573362392124,-0.03789405695855363,0.023804587754984417,0.023941686862878404,0.018822044599025967,0.8598857899806027,0.02037009823089711,0.14262839673513167,0.062091086138439396,0.0017557761671364977
stress_level,0.5130439592085362,-0.0012794081820328917,-0.16292380333887577,-0.0013641510642565103,-0.005514745148438892,0.01474453754675471,0.14903956318016676,0.0006641692204301365,-0.0009212545789705084,-0.000564474442858702,-0.0025669064021966925,-0.016219115899132885,0.00217261220517526,-0.007322034494812778,0.016966568521294408,-0.0036004685594270397
anxiety_score,0.4509620719316752,-0.0010765896598006893,-0.1665125675865614,-0.002503034231848514,-0.007740957548252613,0.018869185238025665,0.17712035942927584,0.0034806687586050205,0.00371014157052681,0.002451077771175154,-0.002293748401057467,-0.022817802843805593,0.003021081870919361,0.7095759123755763,-0.33835946187590293,0.015522791890302694
depression_score,0.4050810547535454,0.0027687031461779517,-0.20676932066290774,0.0010110885283299577,0.007977763287578517,-0.04486424289276105,-0.37978335361659915,-0.0006833087708084886,-0.0027472637579488667,0.0005079122253052394,0.009345940348921571,-0.010326080043104363,0.0008419907190516742,0.034968144332720406,0.7645119056923545,-0.007832535645626488
sleep_hours,-0.13657448134469452,0.0009815823929815778,0.1662806727216403,0.003789056764712107,0.005442908857178739,-0.009283858806027712,-0.06405631245170663,-0.5522403591532159,-0.43282650993551663,0.31880186681449585,0.4969912126099043,-0.141428133610676,-0.012466920858215113,0.2467351112621114,0.1005680246902378,0.0031142788617936415
physical_activity,-0.0898864169513157,0.0005278572828395556,0.11777677963422029,-0.000773346890702278,0.011978797926238028,0.008595176070631615,-0.04218563540745416,0.6786767205851681,0.058731636187392036,-0.11636717338005069,0.6749893676249976,-0.05866761539460257,-0.016335587394761254,0.162682992858362,0.06849194152022549,0.0012273353629586473
social_support,-0.06563754259518961,-0.0060094311328722765,0.1212073998135737,-0.008487098255322185,-0.017576344381575126,0.09780255571258742,0.8609000589986442,-0.0013431721108059622,0.0036970646374639288,-0.015118539928719423,-0.020774602423486582,-0.020833262788517416,0.002889932939210332,0.022011333544717595,0.4655495179901668,-0.007828349021476302
screen_time,-0.0013870908068647635,0.7068898194170212,-0.0019594013344104585,-0.001118776461195199,-0.014959282344093197,-0.006278356028241895,0.005166313945166956,-0.00021912151753784764,-0.0010698064044374152,-0.00016644677227400283,-7.884036233714562e-05,0.000729643758372325,0.0028812391706017904,0.0011950603108585188,0.0024199357231978543,-0.002597168818646142
internet_usage,-0.00011388194015092822,0.7068872299457333,-0.003276753151933599,0.0003467504477183703,-0.014303078129163403,-0.006867220144695941,0.006482946238880247,0.0001506587051776521,0.0016079450133728221,0.00019275928871100294,0.0016591734106936834,0.00025738821572880244,0.0023366685562310353,-0.0023936689270372905,-0.0028531773524078266,3.7125630468872064e-05
financial_stress,0.2399753797058526,-0.0031408522189752047,-0.3106905834934592,0.0015362882415319809,0.0018582770442696654,0.02417106270466444,0.1554344507616208,-0.3259490372763004,0.17486413992897337,-0.279787255043713,0.5331881403815765,0.1827113748420083,0.004868942598678591,-0.4444131715458879,-0.18332013800579255,0.0006214476559266896
family_expectation,0.1792513489196118,-0.0021136908029975644,-0.21918598269775574,-0.002657665164365036,-0.01591729494582776,8.514290562079695e-05,0.12001570282870633,0.3516364827140667,-0.5206561480226037,0.5728543463688155,-0.010011557354583393,0.16046827258027857,-0.009005759964361966,-0.32811474587977024,-0.12930396293257704,-0.005300788033211835
gender_Male,0.0027037825757517953,0.004259511358655248,0.00659488268235804,-0.029851688740286056,-0.01702282572088235,0.7012080778058848,-0.08296647828489023,0.004556590496179958,-0.02299209171799095,0.005312834279082135,0.0010561127711034251,-0.0016709669527321053,0.7068158841106705,-0.0014768432394201298,-0.0003312335980408377,-0.0009149176303068811
gender_Other,-0.003970475845867007,-0.009184337727189646,0.0009555324585265084,0.034275885568725864,0.027443728491519513,-0.7007012853126259,0.07825688325579365,0.009495268338790478,0.006948196444011816,0.005078556771633658,0.0186509723822792,-0.034404634155695876,0.7065075558214774,-0.003313220931873796,-0.001832367241290671,-0.0001982972355111023
academic_year_2,0.0006778041068666235,-0.013974373096979497,0.015617231335095134,-0.4145558025616658,-0.7020038072630361,-0.04236741716790424,-0.014716573493291486,-0.0014312963473252017,0.009907991986966526,-0.0001729413580046438,0.009685103086542239,0.005681422083450573,0.006891003780349223,-0.0077675073176092175,0.009193248409768711,0.5765889427506182
academic_year_3,-0.00034117928305811855,0.015440579343903355,-0.010771640314693387,-0.40264418630331317,0.7097973607886456,0.0053466210513243,0.01424225369072811,0.0024911170204562003,-0.02429248482658305,-0.010385400856028485,-0.012499135662756004,-0.0034206887101827783,-0.0035217598696123597,-0.009126398713538278,0.004685659123723147,0.5766152886606367
academic_year_4,-0.00020338265945592072,0.0016376097966736014,-0.003034872354813125,0.8145036057791322,-0.008130452033566488,0.03807891220597635,0.004460704080750134,0.004297637683208788,0.008715359338300643,0.011655096212025826,-0.0025489468856242526,-0.00453503616511932,-0.002129430189441581,-0.007326322687152596,0.009616700400118418,0.5784629231055434
