PC,Top 3 Features by Absolute Loading,Proposed Label,Individual Explained Variance,Cumulative Explained Variance
PC1,stress_level (+0.513); anxiety_score (+0.451); depression_score (+0.405),Psychological distress,0.1663,0.1663
PC2,screen_time (+0.707); internet_usage (+0.707); academic_year_3 (+0.015),Screen and internet use,0.0996,0.2659
PC3,study_hours_per_day (+0.571); exam_pressure (+0.463); academic_performance (+0.402),Academic pressure and performance,0.0861,0.352
PC4,academic_year_4 (+0.815); academic_year_2 (-0.415); academic_year_3 (-0.403),Academic year contrast,0.0703,0.4223
PC5,academic_year_3 (+0.710); academic_year_2 (-0.702); gender_Other (+0.027),Academic year contrast,0.0701,0.4924
PC6,gender_Male (+0.701); gender_Other (-0.701); social_support (+0.098),Gender indicator contrast,0.063,0.5554
PC7,social_support (+0.861); depression_score (-0.380); anxiety_score (+0.177),Psychological distress,0.0612,0.6166
PC8,physical_activity (+0.679); sleep_hours (-0.552); family_expectation (+0.352),Lifestyle and support,0.0529,0.6695
PC9,age (+0.711); family_expectation (-0.521); sleep_hours (-0.433),Lifestyle and support,0.0528,0.7223
PC10,age (+0.691); family_expectation (+0.573); sleep_hours (+0.319),Lifestyle and support,0.0525,0.7748
PC11,physical_activity (+0.675); financial_stress (+0.533); sleep_hours (+0.497),Psychological distress,0.0522,0.827
PC12,academic_performance (+0.860); exam_pressure (-0.411); financial_stress (+0.183),Psychological distress,0.0477,0.8747
PC13,gender_Male (+0.707); gender_Other (+0.707); academic_performance (+0.020),Gender indicator contrast,0.0423,0.9169
PC14,anxiety_score (+0.710); financial_stress (-0.444); family_expectation (-0.328),Psychological distress,0.022,0.9389
PC15,depression_score (+0.765); social_support (+0.466); anxiety_score (-0.338),Psychological distress,0.0208,0.9597
PC16,academic_year_4 (+0.578); academic_year_3 (+0.577); academic_year_2 (+0.577),Academic year contrast,0.0175,0.9772
