PC,Train Explained Variance Ratio,Train Cumulative,Test Projected Variance Ratio,Test Projected Cumulative
PC1,0.1663,0.1663,0.1662,0.1662
PC2,0.0996,0.2659,0.0996,0.2658
PC3,0.0861,0.352,0.0858,0.3517
PC4,0.0703,0.4223,0.0698,0.4214
PC5,0.0701,0.4924,0.0701,0.4916
PC6,0.063,0.5554,0.0632,0.5547
PC7,0.0612,0.6166,0.062,0.6167
PC8,0.0529,0.6695,0.053,0.6697
PC9,0.0528,0.7223,0.0525,0.7222
PC10,0.0525,0.7748,0.0522,0.7744
PC11,0.0522,0.827,0.0525,0.827
PC12,0.0477,0.8747,0.0478,0.8748
PC13,0.0423,0.9169,0.0422,0.917
PC14,0.022,0.9389,0.0218,0.9388
PC15,0.0208,0.9597,0.0208,0.9596
PC16,0.0175,0.9772,0.0176,0.9772
